Year.Month,Day,Temperature
2024,5,17,22.4
2024,5,18,23.9
2024,5,19,23.4
2024,5,20,23.1
2024,5,21,23.6
2024,5,22,24.5
2024,5,23,24.9
2024,5,24,24.5
2024,5,25,24.6
2024,5,26,25.4
2024,5,27,26.3
2024,5,28,26
2024,5,29,23.5
2024,5,30,24
2024,5,31,25.2
2024,6,1,24.8
2024,6,2,24.8
2024,6,3,25.8
2024,6,4,23.3
2024,6,5,23.3
2024,6,6,24.6
2024,6,7,25.6
2024,6,8,24.7
2024,6,9,25.9
2024,6,10,25.5
2024,6,11,***
2024,6,12,26.6
2024,6,13,27.2
2024,6,14,27.4
2024,6,15,25.4
2024,6,16,24.7
2024,6,17,26.7
2024,6,18,26.2
2024,6,19,27.1
2024,6,20,26.4
2024,6,21,27
2024,6,22,27.8
2024,6,23,27.7
2024,6,24,27.8
2024,6,25,27.5
2024,6,26,25.1
2024,6,27,28
2024,6,28,28.2
2024,6,29,26.5
2024,6,30,26
2024,7,1,27.5
2024,7,2,27.7
2024,7,3,27
2024,7,4,27.5
2024,7,5,27.1
2024,7,6,27.5
2024,7,7,27.9
2024,7,8,27.6
2024,7,9,27.1
2024,7,10,26
2024,7,11,27.5
2024,7,12,26.1
2024,7,13,27.1
2024,7,14,28.3
2024,7,15,25.7
2024,7,16,25.7
2024,7,17,27.3
2024,7,18,25.9
2024,7,19,27
2024,7,20,28
2024,7,21,28.2
2024,7,22,27.9
2024,7,23,27.9
2024,7,24,27.8
2024,7,25,28.1
2024,7,26,28.1
2024,7,27,27.8
2024,7,28,25.9
2024,7,29,26.8
2024,7,30,25.6
2024,7,31,25.9
2024,8,1,26.9
2024,8,2,27
2024,8,3,26.8
2024,8,4,26.5
2024,8,5,28
2024,8,6,28.2
2024,8,7,27.4
2024,8,8,27.4
2024,8,9,27
2024,8,10,27.4
2024,8,11,27.7
2024,8,12,26.7
2024,8,13,28
2024,8,14,27.6
2024,8,15,27.4
2024,8,16,25.9
2024,8,17,24.4
2024,8,18,25.1
2024,8,19,25.7
2024,8,20,24.8
2024,8,21,25.4
2024,8,22,26.1
2024,8,23,26.7
2024,8,24,27
2024,8,25,26.9
2024,8,26,27.3
2024,8,27,27.3
2024,8,28,27.6
2024,8,29,27.1
2024,8,30,26.8
2024,8,31,27.6
2024,9,1,27.7
2024,9,2,27.7
2024,9,3,26.9
2024,9,4,24.2
2024,9,5,27.6
2024,9,6,25
2024,9,7,25.8
2024,9,8,26.7
2024,9,9,27.1
2024,9,10,26
2024,9,11,27
2024,9,12,27.1
2024,9,13,27.1
2024,9,14,27.3
2024,9,15,26.3
2024,9,16,25
2024,9,17,27.1
2024,9,18,26
2024,9,19,26.9
2024,9,20,27.8
2024,9,21,27.6
2024,9,22,26.9
2024,9,23,24.5
2024,9,24,25.1
2024,9,25,26.2
2024,9,26,***
2024,9,27,27.3
2024,9,28,27.7
2024,9,29,26.9
2024,9,30,26.9
2024,10,1,26.8
2024,10,2,24
2024,10,3,22.1
2024,10,4,22.8
2024,10,5,23.5
2024,10,6,25.1
2024,10,7,26.1
2024,10,8,24.2
2024,10,9,25.1
2024,10,10,22.9
2024,10,11,24.5
2024,10,12,23.8
2024,10,13,24.8
2024,10,14,24.7
2024,10,15,25.6
2024,10,16,25.7
2024,10,17,25.3
2024,10,18,25.8
2024,10,19,24.7
2024,10,20,25.7
2024,10,21,25.6
2024,10,22,24.7
2024,10,23,22.7
2024,10,24,20.3
2024,10,25,20.7
2024,10,26,23.1
2024,10,27,23.9
2024,10,28,23.6
2024,10,29,23.1
2024,10,30,23.3
2024,10,31,21.5
2024,11,1,22.2
2024,11,2,21.5
2024,11,3,23.2
2024,11,4,23.5
2024,11,5,23.1
2024,11,6,22.1
2024,11,7,21.1
2024,11,8,18.3
2024,11,9,22.1
2024,11,10,22.8
2024,11,11,22.7
2024,11,12,22.1
2024,11,13,22.8
2024,11,14,23.6
2024,11,15,23.5
2024,11,16,24
2024,11,17,23.5
2024,11,18,22.7
2024,11,19,21.1
2024,11,20,18.4
2024,11,21,18.9
2024,11,22,19.4
2024,11,23,18.3
2024,11,24,19.9
2024,11,25,20.1
2024,11,26,18.7
2024,11,27,16.2
2024,11,28,14.8
2024,11,29,13.6
2024,11,30,13.7
2024,12,1,14.8
2024,12,2,16.2
2024,12,3,17.1
2024,12,4,18.8
2024,12,5,***
2024,12,6,18.5
2024,12,7,17.1
2024,12,8,15.3
2024,12,9,17.2
2024,12,10,16.7
2024,12,11,18.7
2024,12,12,16.7
2024,12,13,17.1
2024,12,14,14.5
2024,12,15,13.5
2024,12,16,13.3
2024,12,17,12.7
2024,12,18,14.8
2024,12,19,11
2024,12,20,10.2
2024,12,21,10.6
2024,12,22,10.9
2024,12,23,14.3
2024,12,24,13.6
2024,12,25,15.4
2024,12,26,17.5
2024,12,27,17.8
2024,12,28,14.1
2024,12,29,10.9
2024,12,30,12
2024,12,31,13.5
